fips,cnip_2020_12,laborforce_2020_12,employed_2020_12,unemployment_percent_2020_12,ZIP
36081103202,5318.9,3041.9,2736.2,10.05,11691
36081092200,1622.6,878.0,827.2,5.79,11694
36081032800,2213.2,1248.9,1086.4,13.01,11413
36081032800,2213.2,1248.9,1086.4,13.01,11434
36061011500,3530.0,2769.4,2595.3,6.29,10018
36061011500,3530.0,2769.4,2595.3,6.29,10036
36061011500,3530.0,2769.4,2595.3,6.29,10108
36061011500,3530.0,2769.4,2595.3,6.29,10129
36005037900,3542.3,1815.2,1431.8,21.12,10457
36061003100,2504.9,1480.4,1348.9,8.88,10007
36061003100,2504.9,1480.4,1348.9,8.88,10013
36061003100,2504.9,1480.4,1348.9,8.88,10278
36061021900,4758.3,2116.3,1801.5,14.88,10027
36061021900,4758.3,2116.3,1801.5,14.88,10031
36047112800,3205.2,1711.4,1394.0,18.55,11207
36047036400,1971.9,964.8,864.1,10.44,11235
36047008200,3242.6,2020.7,1741.9,13.8,11220
36047008200,3242.6,2020.7,1741.9,13.8,11232
36047046400,1537.5,706.5,663.7,6.06,11204
36047046400,1537.5,706.5,663.7,6.06,11230
36081025900,3045.2,1588.3,1403.5,11.64,11377
36081070700,2125.3,1060.2,984.4,7.15,11375
36085014700,2816.8,1587.4,1508.8,4.95,10301
36085014700,2816.8,1587.4,1508.8,4.95,10310
36085014700,2816.8,1587.4,1508.8,4.95,10314
36081118700,2148.4,1015.4,909.9,10.39,11355
36081028900,4435.7,2556.1,2376.9,7.01,11372
36081057700,3589.1,1939.6,1748.0,9.88,11385
36061020600,3014.8,1569.2,1381.8,11.94,10035
36061020600,3014.8,1569.2,1381.8,11.94,10037
36005020501,5627.5,2756.6,2254.6,18.21,10453
36047031702,3238.3,2211.0,1978.2,10.53,11216
36047050100,2972.8,2240.5,2074.2,7.42,11211
36047000502,2414.9,1636.6,1537.7,6.04,11201
36081014400,1540.8,812.1,735.6,9.42,11418
36081019800,2390.4,1336.7,1072.8,19.74,11435
36081081800,3768.1,1913.4,1622.5,15.2,11420
36061027100,8661.5,5372.0,4528.0,15.71,10033
36005041500,4866.9,3176.3,2697.5,15.07,10458
36005018900,6206.4,3402.2,2825.4,16.95,10452
36005003100,1370.6,839.0,725.0,13.59,10454
36005003100,1370.6,839.0,725.0,13.59,10455
36061022500,9310.3,5478.5,4753.6,13.23,10031
36061001001,1336.5,665.4,619.9,6.84,10002
36061008300,3832.2,2674.2,2329.6,12.89,10011
36061008300,3832.2,2674.2,2329.6,12.89,10014
36061025900,3234.3,2435.8,2190.0,10.09,10030
36061025900,3234.3,2435.8,2190.0,10.09,10039
36047050400,3793.4,2459.1,2292.9,6.76,11218
36047083600,1870.7,933.5,797.9,14.53,11203
36047083600,1870.7,933.5,797.9,14.53,11210
36047053800,3618.4,1774.0,1633.6,7.91,11230
36047021400,1591.1,825.8,748.6,9.35,11219
36047033600,3828.6,2042.1,1866.6,8.59,11224
36081090700,1108.3,488.7,438.9,10.19,11354
36081090700,1108.3,488.7,438.9,10.19,11356
36081090700,1108.3,488.7,438.9,10.19,11357
36081062100,2134.3,1224.6,1078.4,11.94,11379
36081062100,2134.3,1224.6,1078.4,11.94,11385
36081115900,3712.4,1576.6,1428.7,9.38,11354
36061021000,5924.7,2732.3,2345.8,14.15,10037
36061001002,4766.5,1678.4,1478.8,11.89,10002
36005018400,3427.1,1959.5,1767.3,9.81,10461
36005036400,2256.2,1237.0,1094.7,11.5,10469
36061017402,2178.9,1123.3,972.1,13.46,10029
36047041401,1115.7,528.9,467.8,11.55,11223
36047056900,1446.0,1126.9,1074.7,4.63,11222
36047056900,1446.0,1126.9,1074.7,4.63,11249
36081012800,1850.6,1118.1,1003.1,10.29,11418
36081089200,6738.0,2920.1,2648.3,9.31,11414
36081088901,8975.0,4306.2,3943.0,8.43,11354
36081088901,8975.0,4306.2,3943.0,8.43,11357
36081002400,2085.2,1173.1,1002.8,14.52,11418
36081002400,2085.2,1173.1,1002.8,14.52,11421
36005014900,3533.0,1730.2,1376.6,20.44,10456
36005042100,4358.2,2698.1,2236.9,17.09,10467
36005025300,4431.4,2677.5,2165.8,19.11,10453
36005025300,4431.4,2677.5,2165.8,19.11,10468
36061016001,3323.4,1661.3,1599.7,3.71,10128
36047078600,3902.2,2190.3,1890.3,13.7,11210
36047012200,4538.1,2462.5,2090.8,15.09,11220
36047067600,1603.8,908.9,778.9,14.3,11234
36047095600,3625.0,2069.9,1875.5,9.39,11236
36047020800,2801.2,1299.6,1109.3,14.64,11219
36047020800,2801.2,1299.6,1109.3,14.64,11228
36047117800,1544.4,703.4,617.6,12.2,11208
36081060300,1725.0,1105.9,1006.2,9.02,11378
36081060300,1725.0,1105.9,1006.2,9.02,11379
36081060300,1725.0,1105.9,1006.2,9.02,11385
36085000300,1739.6,1163.3,1069.6,8.05,10301
36081008500,740.2,433.9,377.8,12.93,11101
36081008500,740.2,433.9,377.8,12.93,11106
36081019900,697.5,391.9,335.0,14.52,11101
36081019900,697.5,391.9,335.0,14.52,11378
36081051500,2771.0,1603.6,1492.2,6.95,11377
36081051500,2771.0,1603.6,1492.2,6.95,11378
36081074700,3046.4,1594.5,1466.8,8.01,11375
36005036800,1653.8,927.5,799.5,13.8,10469
36047057100,3690.6,2555.1,2412.7,5.57,11222
36047016300,2874.4,2215.9,2072.5,6.47,11238
36047036502,958.1,482.4,377.8,21.68,11212
36047036502,958.1,482.4,377.8,21.68,11233
36081030903,5160.1,2703.0,2439.8,9.74,11370
36081030903,5160.1,2703.0,2439.8,9.74,11372
36081040400,3317.4,1912.0,1513.2,20.86,11412
36081040400,3317.4,1912.0,1513.2,20.86,11423
36005016900,1180.2,573.3,444.4,22.48,10456
36005016900,1180.2,573.3,444.4,22.48,10457
36061018100,8787.9,4909.9,4592.9,6.46,10025
36061014601,4085.3,3224.9,3131.1,2.91,10028
36061011900,1100.3,366.7,324.9,11.4,10036
36047101200,1971.0,1045.4,947.5,9.36,11236
36047087600,1467.5,689.2,620.1,10.03,11203
36047010600,4090.2,1816.0,1637.1,9.85,11220
36047046800,1169.7,573.0,531.3,7.28,11204
36081097300,1515.1,734.8,662.9,9.78,11357
36085000900,1441.6,884.4,778.5,11.97,10301
36081092500,3270.2,1447.8,1281.8,11.47,11356
36085010500,3631.4,1843.9,1653.1,10.35,10310
36005020200,1847.9,1019.2,884.2,13.25,10461
36005020200,1847.9,1019.2,884.2,13.25,10462
36061003200,7733.6,5022.6,4741.1,5.6,10009
36047001300,2076.9,1161.8,1096.0,5.66,11201
36047001300,2076.9,1161.8,1096.0,5.66,11202
36047046201,1921.0,800.0,725.5,9.31,11230
36047013300,3514.5,2816.4,2696.0,4.27,11215
36047016900,4183.5,3011.3,2861.3,4.98,11215
36047079601,4297.4,2614.5,2303.4,11.9,11225
36047079601,4297.4,2614.5,2303.4,11.9,11226
36081055800,1556.6,799.4,740.3,7.39,11428
36085015602,2833.2,1491.9,1358.5,8.94,10312
36005020100,3116.5,1527.7,1297.8,15.05,10452
36061020300,3201.5,781.8,711.8,8.95,10027
36061027300,6170.0,4376.9,4074.6,6.91,10033
36061027300,6170.0,4376.9,4074.6,6.91,10040
36047003400,2610.0,1416.3,1341.9,5.25,11209
36047003400,2610.0,1416.3,1341.9,5.25,11220
